episode,source_url,source
049,https://vimeo.com/1179727406/e6f7d9407e?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
050,https://vimeo.com/1179739824/260d2bbbcd?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
051,https://vimeo.com/1179739983/cddddace17?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
052,https://vimeo.com/1179740167/bc975858fc?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
053,https://vimeo.com/1179740334/dbe4f8c951?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
054,https://vimeo.com/1179740511/70ee4f6ad6?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
055,https://vimeo.com/1179740680/04897b2280?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
056,https://vimeo.com/1179740844/bdcd6f4045?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
057,https://vimeo.com/1179741021/222d87effb?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
058,https://vimeo.com/1179741183/7f517033d4?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
059,https://vimeo.com/1179741348/2377677cb8?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
060,https://vimeo.com/1179741525/266a4caf95?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
061,https://vimeo.com/1179741678/05c14a9532?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
062,https://vimeo.com/1179741818/600bc2d1be?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
063,https://vimeo.com/1179742042/569962685c?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
064,https://vimeo.com/1179742390/d1ce8c196a?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
065,https://vimeo.com/1179742853/acd11b34bf?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
066,https://vimeo.com/1179743157/5a8af5f477?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
067,https://vimeo.com/1179743347/a2c79bbe51?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
068,https://vimeo.com/1179743486/e49e0da18f?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
069,https://vimeo.com/1179743656/e23026b205?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
070,https://vimeo.com/1179745480/4fbfc6f5f3?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
071,https://vimeo.com/1179745599/6a7d248329?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
072,https://vimeo.com/1179745878/7ad586b70c?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
073,https://vimeo.com/1179746057/52425b6376?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
074,https://vimeo.com/1179746174/23d0d12577?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
075,https://vimeo.com/1179746341/aef57203a5?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
076,https://vimeo.com/1179746456/2ff6599f45?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
